name,genre,unitssold
Beowulf,fiction,7000
Batman: Year One,fiction,6250
Go Set a Watchman,fiction,5500
When You Are Engulfed in Flames,fiction,5500
Daughter of Smoke & Bone,fiction,4750
Red Queen,fiction,4000
The Power of Habit,fiction,3933
Midnight in the Garden of Good and Evil,nonfiction,3800
Hopeless,fiction,3733
A Little Princess,fiction,3666
The Truth About Forever,fiction,3600
The horse and his boy,fiction,3600
Last Sacrifice ,fiction,3466
Little House on the Prairie,fiction,3466
The Velveteen Rabbit,fiction,3333
Zen and the Art of Motorcycle Maintenance,fiction,3266
The War of the Worlds,fiction,3200
Pretty Little Liars,fiction,3200
Corduroy,fiction,3133
The Omnivore's Dilemma,fiction,3066
Life After Life,fiction,2933
The Rescue,fiction,2866
Needful Things,fiction,2800
Voyager,fiction,2733
,fiction,2666
Cujo,fiction,2600
The Virgin Suicides,fiction,2466
Dead to the World,fiction,2400
Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,nonfiction,2400
Madame Bovary,fiction,2333
The Phantom Tollbooth,fiction,2266
The Way of Kings,fiction,2200
Club Dead,fiction,2200
It's Kind of a Funny Story,nonfiction,2066
,fiction,2000
After You,fiction,1984
The Language of Flowers,fiction,1984
Batman: The Dark Knight Returns,fiction,1969
The Angel Experiment,fiction,1969
High Fidelity,fiction,1907
The Guardian,fiction,1892
Oryx and Crake,fiction,1876
"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",fiction,1861
Kitchen Confidential: Adventures in the Culinary Underbelly,fiction,1846
Timeline,fiction,1830
Candide,fiction,1800
Tuck Everlasting,nonfiction,1800
Christine,nonfiction,1784
Are You My Mother?,fiction,1769
The Story of Art,fiction,1753
Scarlet,fiction,1738
"Rich Dad , Poor Dad",fiction,1723
Silence ,fiction,1707
The Magicians,fiction,1692
ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),fiction,1676
A Great and Terrible Beauty,fiction,1661
Everything Is Illuminated,fiction,1646
The Bourne Supremacy,fiction,1630
Easy,fiction,1630
David Copperfield,fiction,1615
The Absolutely True Diary of a Part-Time Indian,fiction,1600
ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,fiction,1584
A Wizard of Earthsea,fiction,1569
Because of Winn-Dixie,fiction,1538
A Separate Peace,fiction,1523
The Rainmaker,fiction,1507
Don Quijote de La Mancha,fiction,1492
Assassin's Apprentice,fiction,1461
The Restaurant at the End of the Universe,fiction,1446
Torment,fiction,1430
The Tale of Peter Rabbit,fiction,1415
The Silver Chair,fiction,1384
The Hero of Ages,nonfiction,1384
"Girl, Interrupted",fiction,1369
"Are You There, Vodka? It's Me, Chelsea",fiction,1369
Jonathan Livingston Seagull,fiction,1353
City of Heavenly Fire,fiction,1338
Love You Forever,fiction,1323
Cell,fiction,1307
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,fiction,1307
The Silmarillion,fiction,1292
The Drawing of the Three,nonfiction,1276
The Forgotten Garden,fiction,1230
Der ProzeÃŸ,fiction,1215
This Lullaby,fiction,1215
Plain Truth,fiction,1200
Orange Is the New Black: My Year in a Women's Prison,fiction,1200
The Hound of the Baskervilles,fiction,1184
"Thinking, Fast and Slow",fiction,1169
The Mists of Avalon,fiction,1169
"Are You There God? It's Me, Margaret",fiction,1123
Nights in Rodanthe,fiction,1123
Mr. Mercedes,fiction,1107
All Together Dead,fiction,1076
Midwives,fiction,1061
The Polar Express,nonfiction,1046
The True Story of the Three Little Pigs,fiction,1030
Patriot Games,fiction,1015
Veronika decide morrer,fiction,1015
"Lean In: Women, Work, and the Will to Lead",fiction,995
Dead as a Doornail ,fiction,990
"Shatter Me (Shatter Me, #1)",fiction,980
Starship Troopers,fiction,975
I've Got Your Number,fiction,970
Sofies Verden,fiction,960
,fiction,960
The Martian Chronicles,fiction,945
A Visit From the Goon Squad,fiction,940
Heidi,fiction,935
Prey,fiction,930
The Last Battle,fiction,920
World Without End,fiction,915
Chosen: A House of Night Novel,fiction,915
Slammed,fiction,910
"Beastly (Beastly, #1, Kendra Chronicles, #1)",fiction,905
Tales of Caunterbury,fiction,900
Baby Proof,nonfiction,900
Inheritance,nonfiction,895
ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],fiction,890
Uncle Tom's Cabin or Life Among the Lowly,fiction,890
Le FantÃ´me de l'OpÃ©ra,fiction,885
"Definitely Dead (Sookie Stackhouse, #6)",fiction,870
Ensaio Sobre a Cegueira,fiction,865
Freedom,fiction,860
Crossed,fiction,850
"I'd Tell You I Love You, But Then I'd Have to Kill You",fiction,845
The White Tiger,fiction,840
The Corrections,fiction,825
Dreams from My Father,nonfiction,825
Congo,nonfiction,815
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",fiction,810
Interpreter of Maladies,fiction,805
A People's History of the United States: 1492 to Present ,fiction,800
Breakfast at Tiffany's,fiction,800
The Passage,fiction,795
Anansi Boys,nonfiction,790
Along for the Ride,fiction,785
Everything I Never Told You,fiction,780
La casa de los espÃ­ritus,fiction,775
The Dead Zone,fiction,760
The Mysterious Affair at Styles,fiction,755
Murder in the Calais Coach,fiction,750
Americanah,fiction,750
Suzanne's Diary for Nicholas,fiction,745
Firestarter,fiction,740
Entwined with You,fiction,735
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",fiction,730
The Storied Life of A.J. Fikry,fiction,725
Mad About Madeline,fiction,720
Think and Grow Rich,fiction,710
Little House In The Big Woods,fiction,705
Jonathan Strange & Mr Norrell,fiction,700
A Bend in the Road,fiction,680
The House of Hades,nonfiction,675
Gone,fiction,670
The Wedding,fiction,665
1776,fiction,660
Under the Banner of Heaven: A Story of Violent Faith,fiction,655
Beautiful Ruins,fiction,655
The Audacity of Hope: Thoughts on Reclaiming the American Dream,fiction,650
On Writing: A Memoir of the Craft,fiction,650
Firefly Lane,fiction,645
Sphere,fiction,640
Love the One You're With,fiction,630
The Silkworm,fiction,615
The Vampire Lestat,fiction,610
State of Wonder,fiction,605
The Silver Linings Playbook,fiction,600
Vingt Mille Lieues Sous les Mers,fiction,595
The Constant Princess,fiction,595
Mrs Dalloway,fiction,590
HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,fiction,585
Bag of Bones,fiction,575
The Cider House Rules,fiction,570
Thinner,fiction,555
Le tour du monde en quatre-vingts jours,fiction,555
Walk Two Moons,nonfiction,550
Onze minutos,fiction,540
Nine Stories,fiction,540
"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",nonfiction,535
Unwind,fiction,530
"Drums of Autumn (Outlander, #4)",nonfiction,515
Prodigy,fiction,510
The Tragedie of King Lear,fiction,505
Death of a Salesman,fiction,498
The Choice,fiction,496
,fiction,491
The Sound and the Fury,fiction,490
A New Earth: Awakening to Your Life's Purpose,fiction,488
BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,fiction,488
,fiction,483
The Shadow Rising ,nonfiction,483
Shantaram,fiction,481
From Dead to Worse,fiction,480
The Waste Lands,fiction,478
The Bone Collector,fiction,478
Der Vorleser,fiction,476
"Brown Bear, Brown Bear, What Do You See?",fiction,476
Hyperion,fiction,475
The Pearl of the World,fiction,475
The Exorcist,fiction,468
The Short Second Life of Bree Tanner,fiction,466
Snow Falling on Cedars,fiction,466
Roots,fiction,465
Batman: The Killing Joke ,fiction,460
Invisible Man,fiction,460
A Long Way Gone. Memoirs of a Boy Soldier,fiction,456
Mrs. Frisby and the Rats of NIMH,fiction,455
Different Seasons,fiction,455
The Little House Collection,fiction,453
The Girls' Guide to Hunting and Fishing,nonfiction,453
Wool Omnibus,fiction,451
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",fiction,450
The Power of Now,fiction,448
Let's Pretend This Never Happened (A Mostly True Memoir),fiction,448
The Lies of Locke Lamora,fiction,443
Sabriel,fiction,441
Dead and Gone,fiction,436
The Storyteller,fiction,435
Obsidian,fiction,433
"Life, the Universe and Everything",fiction,433
Crown of Midnight,fiction,431
"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",fiction,430
Half Broke Horses: A True Life Novel,fiction,426
Mort,fiction,426
"The Iron King (The Iron Fey, #1) ",fiction,425
Lonesome Dove,fiction,423
Stiff: The Curious Lives of Human Cadavers,nonfiction,420
Bloodlines,fiction,418
Ender's Shadow,nonfiction,416
Twenties Girl,fiction,415
Schindler's Ark,fiction,410
The Bluest Eye,fiction,408
The White Queen,fiction,408
The Autobiography of Malcolm X,nonfiction,406
Preludes & Nocturnes,nonfiction,405
Seabiscuit,fiction,403
Shutter Island,fiction,401
The Complete Sherlock Holmes,fiction,398
The Tragedy of Julius Caesar,fiction,396
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",fiction,396
Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,fiction,391
The Taming of the Shrew,nonfiction,390
Cress,nonfiction,386
Just Kids,fiction,385
,fiction,383
Jemima J,fiction,381
Notre-Dame de Paris,nonfiction,381
A Fine Balance,fiction,380
Calvin and Hobbes,nonfiction,378
Specials,fiction,376
The Awakening,fiction,375
Hunted,fiction,375
For One More Day,fiction,373
Clear and Present Danger,fiction,373
Falling Up,fiction,370
Sh*t My Dad Says,nonfiction,370
Trainspotting,fiction,368
Foundation and Empire,fiction,366
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",fiction,366
House Rules,nonfiction,365
BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,fiction,363
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,fiction,363
Doctor Sleep,fiction,361
About a Boy,fiction,361
On Dublin Street,nonfiction,358
Crazy Love: Overwhelmed by a Relentless God,fiction,356
"One Fish, Two Fish, Red Fish, Blue Fish",nonfiction,355
Watchers,fiction,351
The Story of My Life,nonfiction,351
This Is Where I Leave You,fiction,350
Abraham Lincoln: Vampire Hunter,fiction,348
ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,nonfiction,345
The Tempest,fiction,343
Burned: A House of Night Novel,fiction,341
Wizard and Glass,fiction,341
The Circle,fiction,340
The Invention of Hugo Cabret,fiction,338
Brave New World/Brave New World Revisited,fiction,336
æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,fiction,335
The Good Girl,fiction,328
"Fallen Too Far (Too Far, #1)",fiction,326
Landline,fiction,326
Tempted,fiction,325
No Country for Old Men,fiction,323
Wolf Hall,fiction,321
Howl's Moving Castle,fiction,318
Dreamcatcher,fiction,316
Walden; or Life in the Woods,nonfiction,315
The Remains of the Day,nonfiction,313
The Best of Me,fiction,311
The Sense of an Ending,fiction,310
A is for Alibi,fiction,310
ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚,fiction,308
Shanghai Girls,nonfiction,308
The Wind in the Willows,fiction,305
To All the Boys I've Loved Before,nonfiction,301
Persepolis,fiction,298
A Room with a View,fiction,298
The DUFF: Designated Ugly Fat Friend,fiction,296
Lock and Key,nonfiction,296
Naked in Death,fiction,295
The Chamber,fiction,295
Midnight Sun (Partial Draft),fiction,293
NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,nonfiction,291
